"Df","Sum Sq","Mean Sq","F value","Pr(>F)","factor","GDD","Trait"
4,0.00756386675139149,0.00189096668784787,0.962409718618759,0.427242801693778,"Year:Rep","19","Slope"
8,0.034442944115723,0.00430536801446538,2.19122211193874,0.0259428109788996,"Year:Rep:Block","19","Slope"
987,1.9392822877812,0.00196482501294955,NA,NA,"Residuals","19","Slope"
437,0.522512993764373,0.00119568190792763,2.00088175948898,4.10715666368865e-19,"taxa","20","Slope"
3,1.79330223444371,0.597767411481237,1000.31781205319,1.15658705609667e-298,"Year","20","Slope"
953,0.816948370691535,0.000857238584146417,1.43452287366428,1.02432332289482e-08,"taxa:Year","20","Slope"
4,0.0107589952850819,0.00268974882127047,4.50108788834566,0.00131422698727155,"Year:Rep","20","Slope"
8,0.00807044350634537,0.00100880543829317,1.68815835296244,0.0971423906662713,"Year:Rep:Block","20","Slope"
987,0.589808986726918,0.000597577494150879,NA,NA,"Residuals","20","Slope"
437,1.11419093040809,0.0025496359963572,1.97422639261068,1.95346842912471e-18,"taxa","21","Slope"
3,3.74864182475732,1.24954727491911,967.545646705896,2.57875596238143e-293,"Year","21","Slope"
953,1.27628088098866,0.00133922442915913,1.03698418811645,0.285790229105981,"taxa:Year","21","Slope"
4,0.0216555829691285,0.00541389574228213,4.19207129038297,0.00226600764438034,"Year:Rep","21","Slope"
8,0.0244874294783713,0.00306092868479641,2.37012899255348,0.0157495986769822,"Year:Rep:Block","21","Slope"
987,1.27467180958755,0.00129146079998738,NA,NA,"Residuals","21","Slope"
437,0.410468431765767,0.000939287029212281,2.31330095110046,2.70125970133536e-27,"taxa","22","Slope"
3,1.72546973488252,0.575156578294173,1416.51084090388,0,"Year","22","Slope"
953,0.429468062129845,0.000450648543682944,1.10986915851277,0.0523720645739999,"taxa:Year","22","Slope"
4,0.0130655174550044,0.00326637936375109,8.0445255324745,2.20752987932071e-06,"Year:Rep","22","Slope"
8,0.0123724653580245,0.00154655816975306,3.80890438572572,0.000202902901316815,"Year:Rep:Block","22","Slope"
985,0.399946977644206,0.000406037540755539,NA,NA,"Residuals","22","Slope"
437,0.262611517914386,0.000600941688591273,1.81818445192188,1.67202338995434e-14,"taxa","23","Slope"
3,0.467850016979791,0.15595000565993,471.835921772547,3.47782365155065e-189,"Year","23","Slope"
949,0.481124034205024,0.000506980014968413,1.53389787753207,1.92252430172139e-11,"taxa:Year","23","Slope"
4,0.0102913358213437,0.00257283395533592,7.78426057598757,3.55671899984503e-06,"Year:Rep","23","Slope"
8,0.00299556658904974,0.000374445823631217,1.13290788031251,0.338172402047244,"Year:Rep:Block","23","Slope"
973,0.321593478803124,0.000330517449951823,NA,NA,"Residuals","23","Slope"
433,0.224348600095732,0.00051812609721878,1.74491697561165,1.75402140764092e-12,"taxa","24","Slope"
2,0.117413688753999,0.0587068443769997,197.709727203266,3.53311055840853e-72,"Year","24","Slope"
740,0.309312013169221,0.000417989206985434,1.40768138645478,4.35354771984049e-07,"taxa:Year","24","Slope"
3,0.00541767571571582,0.00180589190523861,6.0817848367131,0.000424064698421486,"Year:Rep","24","Slope"
6,0.00263614486022523,0.000439357476704205,1.47964428655164,0.181925852058857,"Year:Rep:Block","24","Slope"
922,0.273773634111309,0.000296934527235693,NA,NA,"Residuals","24","Slope"
433,0.251647538073657,0.000581172143357177,1.86302932750186,3.28893481224095e-15,"taxa","25","Slope"
2,0.063085033614559,0.0315425168072795,101.113989283321,1.9818971781399e-40,"Year","25","Slope"
740,0.27537723942808,0.00037213140463254,1.19291973718844,0.00561240749521636,"taxa:Year","25","Slope"
3,0.000476908727018639,0.00015896957567288,0.509599410509055,0.675740483434135,"Year:Rep","25","Slope"
6,0.00265751356524583,0.000442918927540972,1.41983913225409,0.203821517841161,"Year:Rep:Block","25","Slope"
922,0.287617971582781,0.000311950077638591,NA,NA,"Residuals","25","Slope"
433,0.346074905134501,0.000799249203543883,1.88209522248367,1.16252124746715e-15,"taxa","26","Slope"
2,0.112998745012326,0.0564993725061631,133.04636225557,1.71770871607453e-51,"Year","26","Slope"
740,0.394613635530752,0.000533261669636152,1.25574005742599,0.000529750465026398,"taxa:Year","26","Slope"
3,0.000651353547471824,0.000217117849157275,0.511275412978752,0.674587387779043,"Year:Rep","26","Slope"
6,0.00291758277417035,0.000486263795695059,1.14506809976971,0.334011066280549,"Year:Rep:Block","26","Slope"
922,0.39153585688136,0.000424659280782386,NA,NA,"Residuals","26","Slope"
433,0.210693669942764,0.000486590461761579,1.92504079057519,1.09121152239574e-16,"taxa","27","Slope"
2,0.127540141489205,0.0637700707446026,252.28605377262,4.08832874472729e-88,"Year","27","Slope"
740,0.248018227564369,0.000335159766978877,1.32595328822979,2.47921774178587e-05,"taxa:Year","27","Slope"
3,0.000530782309782952,0.000176927436594317,0.699957272452356,0.552191809251018,"Year:Rep","27","Slope"
6,0.00202152658277609,0.000336921097129349,1.33292143218611,0.239550821531467,"Year:Rep:Block","27","Slope"
922,0.233052934743333,0.000252768909699928,NA,NA,"Residuals","27","Slope"
437,0.265076629107832,0.000606582675303964,3.50911441711622,1.7775264707995e-60,"taxa","AVS","Slope"
3,0.234089769253634,0.0780299230845446,451.407432507422,5.6681496688103e-186,"Year","AVS","Slope"
957,0.25794312869714,0.000269533049840271,1.55926364136569,1.86375130530624e-12,"taxa:Year","AVS","Slope"
4,0.00333084671178456,0.000832711677946139,4.81728323829486,0.000748971445550821,"Year:Rep","AVS","Slope"
8,0.0019874755263525,0.000248434440794063,1.43720701792512,0.176635878519239,"Year:Rep:Block","AVS","Slope"
1010,0.174587781768734,0.000172859189870033,NA,NA,"Residuals","AVS","Slope"
